broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,588,ကတိုင်,kaˀ-tɒŋ ,กะ-ตาฺง ,,,n,หลุม,v,กระเด้ง,v,กระดอน,,,,,,,,,,,,,
,589,ကတိုင်ကလုဲ,kaˀ-tɒŋ-kaˀ-lùi ,กะ-ตาฺง-กะ-ลุ่ย ,,,n,การเล่นหยอดหลุม,,,,,,,,,,,,,,,,,
,590,ကတိုင်ဂေါက်,kaˀ-tɒŋ-kòk ,กะ-ตาฺง-โก่ก ,,,n,เตาไฟ,,,,,,,,,,,,,,,,,
,591,ကတိုင်စင်ခတေတ်,kaˀ-tɒŋ-caˀŋ-kʰaˀ-tet ,กะ-ตาฺง-จัง-คะ-เตด ,,,n,หลุมที่ขุดไว้ใต้แท่นเลื่อยไม้,,,,,,,,,,,,,,,,,
,592,ကတဵု,kaˀ-tɒw ,กะ-ตอฺว ,,,n,กะท้อน,,,,,,,,,,,,,,,,,
,593,ကတဵုဂကောင်,kaˀ-tɒw-kɛ̀ˀ-koŋ ,กะ-ตอฺว-เกี่ยะ-โกง ,,,n,ฝักคูณ,,,,,,,,,,,,,,,,,
,594,ကထေင်,kaˀ-tʰɒŋ ,กะ-ทอฺง ,,,v,คลึงเป็นทรงกลม,v,ทำให้กลม,v,ทำให้เป็นกลุ่มก้อน,,,,,,,,,,,,,
,595,ကဒဂေါင်,kaˀ-tɛ̀ˀ-kòŋ ,กะ-เตี่ยะ-โก่ง ,,,n,ปลาเข็ม,,,,,,,,,,,,,,,,,
,596,ကဒဒဵု,kaˀ-tɛ̀ˀ-tɤˀw ,กะ-เตี่ยะ-เติ่ว ,,,n,ปลาย่าง,,,,,,,,,,,,,,,,,
,597,ကဒလုင်,kaˀ-tɛ̀ˀ-lɤˀŋ ,กะ-เตี่ยะ-เลิ่ง ,,,n,ปลาไหล,,,,,,,,,,,,,,,,,
,598,ကဓီု,kaˀ-tʰɤˀm ,กะ-เทิ่ม ,,,n,ที่อยู่,n,เคหสถาน,,,,,,,,,,,,,,,
,599,ကနတ်,kaˀ-nòt ,กะ-น่ด ,,,n,ไม้กลัด,n,ยอด,,,,,,,,,,,,,,,
,600,ကနာတ်,kaˀ-na̤t ,กะ-น่าด ,,,n,ซัง,n,ชาน,,,,,,,,,,,,,ကနာတ်ၜဴ,n,"ซังอ้อย, ชานอ้อย"
,601,ကနုက်ကနာဲ,kaˀ-nɤˀk-kaˀ-na̤i ,กะ-เนิ่ก-กะ-น่าย ,,,v,ซ่อนเร้น,v,ปิดบัง,adj,วุ่นวาย,adj,ว้าวุ่น,adj,ฟุ้งซ่าน,,,,,,,,,
,602,ကနုကမာ,kaˀ-nuˀ-kaˀ-mɛ̀a ,กะ-นุ่-กะ-เมีย ,,,n,หอยนางรม,,,,,,,,,,,,,,,,,
,603,ကနေင်ဒွက်,kaˀ-nɒˀŋ-tɛ̤ˀwɛˀk ,กะ-น่อง-เตี่ยะแว่ก ,,,v,ผูกมัด,v,ผูกพันธ์,,,,,,,,,,,,,,,
,604,ကနေံ,kaˀ-nèm ,กะ-เน่ม ,,,n,มะดัน,,,,,,,,,,,,,,,,,
,605,ကနောတ်,kaˀ-nòt ,กะ-โน่ด ,,,prep,ปลาย,prep,ยอด,prep,สุด,,,,,,,,,,,,,
,606,ကနောတ်သော်,kaˀ-nòt-sok ,กะ-โน่ด-โซก ,,,n,ปิ่นปักผม,,,,,,,,,,,,,,,,,
,607,ကနံ,kaˀ-nòmˀ ,กะ-น่ม ,,,adj,เดือด,,,,,,,,,,,,,,,ဍာ်ကနံ,adj,น้ำเดือด
,608,ကပကိုင်,kaˀ-paˀ-kɒŋ ,กะ-ปะ-กาฺง ,,,n,ปลาแขยง,,,,,,,,,,,,,,,,,
,609,ကပဍေင်,kaˀ-paˀ-ɗɒŋ ,กะ-ปะ-ดอฺง ,,,n,ปลาน้ำกร่อยคล้ายปลาตะเพียนเกล็ดเล็ก,,,,,,,,,,,,,,,,,
