broken,no,word,ipa,th,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,257,အလိုက်အလိုက်,ʔaˀ-lə̤k-ʔaˀ-lə̤k ,อะ-ล่าฺก-อะ-ล่าฺก ,,adv,เป็นไปตามสิ่งนั้นๆ,,,,,,,,,,,,,,,,,
,258,အလိုန်,ʔaˀ-lɤˀn ,อะ-เลิ่น ,,n,ละลอกคลื่น,n,ลอนคลื่น,,,,,,,,,,,,,,,
,259,အလှဵု,ʔaˀ-hlɒw ,อะ-ฮลอฺว ,,n,ที่ไหน,n,สถานที่ไหน,,,,,,,,,,,,,,,
,260,အလိုဝ်အသဳ,ʔaˀ-lɤˀw-ʔaˀ-saɪ ,อะ-เลิ่ว-อะ-ซอย ,,n,รัฐบาล,n,ผู้เป็นอำนาจ,,,,,,,,,,,,,,,
,261,အဝ,ʔaˀ-wɛ̀ˀ ,อะ-เวี่ยะ ,,n,เมืองอังวะ,,,,,,,,,,,,,,,,,
,262,အဝသာန်,ʔaˀ-wɛ̀ˀ-san ,อะ-เวี่ยะ-ซาน ,,n,อวสาน,n,จุดจบ,n,การสิ้นสุด,,,,,,,,,,,,,
,263,အဝတ်,ʔaˀ-wòt ,อะ-ว่ด ,,n,หน้าที่,n,อัธยาศัย,,,,,,,,,,,,,,,
,264,အဝါဲ,ʔaˀ-wa̤i ,อะ-ว่าย ,,adv,ขณะที่,adv,ทันที่ที่,,,,,,,,,,,,,,,
,265,အဝါဟ,ʔaˀ-wɛ̀a-haˀ ,อะ-เวีย-ฮะ ,,v,สมรส,v,แต่งงาน,,,,,,,,,,,,,,,
,266,အဝိက်,ʔaˀ-wɤˀk ,อะ-เวิ่ก ,,n,นรกอเวจี,,,,,,,,,,,,,,,,,
,267,အဝိဇ္ဇာ,ʔaˀ-wìˀc-cɛ̀a ,อะ-วิ่จ-เจีย ,,n,อวิชชา,n,ความโง่เขลา,,,,,,,,,,,,,,,
,268,အဝုတ်,ʔaˀ-wùˀt ,อะ-วุ่ด ,,n,กริยา,n,ท่าทาง,n,มารยาท,n,อาการ,,,,,,,,,,,
,269,အဝေစဳ,ʔaˀ-wè-caɪ ,อะ-เว่-จอย ,,n,นรกอเวจี,,,,,,,,,,,,,,,,,
